timestamp,FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,longest_word,sld,len,subdomain,time_difference,packetsToSameDomain
2021-06-09 06:29:12.813379,51,47,0,22,26,4.392342743635335,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052604,1,0
2021-06-09 06:29:13.621081,51,47,0,26,22,4.358823019232458,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:13.772832,51,47,0,22,26,4.416756714181149,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:13.813409,51,47,0,26,22,4.358823019232458,3,3,34,16.333333333333332,0,0,49,1,0:00:00.192328,1,0
2021-06-09 06:29:14.297709,51,47,0,22,26,4.416756714181149,3,3,34,16.333333333333332,0,0,49,1,0:00:00.524877,1,0
2021-06-09 06:29:14.701836,51,47,0,24,24,4.382730488818216,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:14.754107,51,47,0,24,24,4.382730488818216,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052271,1,0
2021-06-09 06:29:14.856543,51,47,0,23,25,4.311953224613572,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:14.909006,51,47,0,23,25,4.311953224613572,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052463,1,0
2021-06-09 06:29:15.715320,51,47,0,27,21,4.314364068856986,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:15.866605,51,47,0,27,21,4.263631784482,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:15.870139,51,47,0,27,21,4.314364068856986,3,3,34,16.333333333333332,0,0,49,1,0:00:00.154819,1,0
2021-06-09 06:29:16.727768,51,47,0,24,24,4.353127057360825,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:16.730632,51,47,0,27,21,4.263631784482,3,3,34,16.333333333333332,0,0,49,1,0:00:00.864027,1,0
2021-06-09 06:29:16.883163,51,47,0,25,23,4.422452676052783,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:16.887000,51,47,0,24,24,4.353127057360825,3,3,34,16.333333333333332,0,0,49,1,0:00:00.159232,1,0
2021-06-09 06:29:16.938000,51,47,0,25,23,4.422452676052783,3,3,34,16.333333333333332,0,0,49,1,0:00:00.054837,1,0
2021-06-09 06:29:17.744515,51,47,0,27,21,4.390384597162591,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:17.798298,51,47,0,27,21,4.390384597162591,3,3,34,16.333333333333332,0,0,49,1,0:00:00.053783,1,0
2021-06-09 06:29:17.900360,51,47,0,23,25,4.358823019232458,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:17.952950,51,47,0,23,25,4.358823019232458,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052590,1,0
2021-06-09 06:29:18.759285,51,47,0,23,25,4.286718783872338,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:18.812327,51,47,0,23,25,4.286718783872338,3,3,34,16.333333333333332,0,0,49,1,0:00:00.053042,1,0
2021-06-09 06:29:18.914675,51,47,0,25,23,4.27077939186632,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:19.724252,51,47,0,25,23,4.27077939186632,3,3,34,16.333333333333332,0,0,49,1,0:00:00.809577,1,0
2021-06-09 06:29:19.776146,51,47,0,21,27,4.405186312891288,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:19.827657,51,47,0,21,27,4.405186312891288,3,3,34,16.333333333333332,0,0,49,1,0:00:00.051511,1,0
2021-06-09 06:29:19.929687,51,47,0,27,21,4.2727375383390624,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:20.543679,51,47,0,27,21,4.2727375383390624,3,3,34,16.333333333333332,0,0,49,1,0:00:00.613992,1,0
2021-06-09 06:29:20.796834,51,47,0,23,25,4.421946175092725,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:20.850964,51,47,0,23,25,4.421946175092725,3,3,34,16.333333333333332,0,0,49,1,0:00:00.054130,1,0
2021-06-09 06:29:20.952588,51,47,0,26,22,4.199495626701619,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:21.807632,51,47,0,25,23,4.4592037148944925,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:21.810458,51,47,0,26,22,4.199495626701619,3,3,34,16.333333333333332,0,0,49,1,0:00:00.857870,1,0
2021-06-09 06:29:21.859933,51,47,0,25,23,4.4592037148944925,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052301,1,0
2021-06-09 06:29:22.012176,51,47,0,25,23,4.279885145723382,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:22.064858,51,47,0,25,23,4.279885145723382,3,3,34,16.333333333333332,0,0,49,1,0:00:00.052682,1,0
2021-06-09 06:29:22.870919,51,47,0,25,23,4.269506223900229,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:22.924312,51,47,0,25,23,4.269506223900229,3,3,34,16.333333333333332,0,0,49,1,0:00:00.053393,1,0
2021-06-09 06:29:23.026534,51,47,0,24,24,4.257935822610367,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:23.717912,51,47,0,24,24,4.257935822610367,3,3,34,16.333333333333332,0,0,49,1,0:00:00.691378,1,0
2021-06-09 06:29:23.921165,51,47,0,27,21,4.295193362412134,3,3,34,16.333333333333332,0,0,49,1,0,0,0
2021-06-09 06:29:23.977391,51,47,0,27,21,4.295193362412134,3,3,34,16.333333333333332,0,0,49,1,0:00:00.056226,1,0
