"timestamp,FQDN_count,subdomain_length,upper,lower,numeric,entropy,special,labels,labels_max,labels_average,longest_word,sld,len,subdomain,time_difference,packetsToSameDomain"
"2021-03-30 01:15:05.397933,72,56,0,64,5,4.142806904004218,3,4,29,17.25,0,0,69,1,0:00:00.269693,1,0"
"2021-03-30 01:15:05.440079,72,56,0,62,7,4.030854121037154,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:05.705874,72,56,0,62,7,4.030854121037154,3,4,29,17.25,0,0,69,1,0:00:00.265795,1,0"
"2021-03-30 01:15:05.752256,72,56,0,62,7,4.340042629112504,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:06.012343,72,56,0,62,7,4.340042629112504,3,4,29,17.25,0,0,69,1,0:00:00.260087,1,0"
"2021-03-30 01:15:06.049406,72,56,0,63,6,4.3085889831890265,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:06.235241,72,56,0,63,6,4.3085889831890265,3,4,29,17.25,0,0,69,1,0:00:00.185835,1,0"
"2021-03-30 01:15:06.269621,72,56,0,60,9,4.242948273365293,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:06.524271,72,56,0,60,9,4.242948273365293,3,4,29,17.25,0,0,69,1,0:00:00.254650,1,0"
"2021-03-30 01:15:06.565566,72,56,0,65,4,4.371352613613023,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:06.760444,72,56,0,65,4,4.371352613613023,3,4,29,17.25,0,0,69,1,0:00:00.194878,1,0"
"2021-03-30 01:15:06.784290,72,56,0,60,9,4.272598264670142,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:06.974925,72,56,0,60,9,4.272598264670142,3,4,29,17.25,0,0,69,1,0:00:00.190635,1,0"
"2021-03-30 01:15:07.018913,72,56,0,61,8,4.359481044553671,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:07.192912,72,56,0,61,8,4.359481044553671,3,4,29,17.25,0,0,69,1,0:00:00.173999,1,0"
"2021-03-30 01:15:07.221933,72,56,0,62,7,4.340442023485485,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:07.445764,72,56,0,62,7,4.340442023485485,3,4,29,17.25,0,0,69,1,0:00:00.223831,1,0"
"2021-03-30 01:15:07.486186,72,56,0,59,10,4.421486509091312,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:07.755197,72,56,0,59,10,4.421486509091312,3,4,29,17.25,0,0,69,1,0:00:00.269011,1,0"
"2021-03-30 01:15:07.784203,72,56,0,59,10,4.31507951503072,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:08.059945,72,56,0,59,10,4.31507951503072,3,4,29,17.25,0,0,69,1,0:00:00.275742,1,0"
"2021-03-30 01:15:08.096288,72,56,0,63,6,4.324177043253687,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:08.367466,72,56,0,63,6,4.324177043253687,3,4,29,17.25,0,0,69,1,0:00:00.271178,1,0"
"2021-03-30 01:15:08.393734,72,56,0,61,8,4.175121754377404,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:08.674390,72,56,0,61,8,4.175121754377404,3,4,29,17.25,0,0,69,1,0:00:00.280656,1,0"
"2021-03-30 01:15:08.706937,72,56,0,57,12,4.186773440828833,3,4,29,17.25,0,0,69,1,0,0,0"
"2021-03-30 01:15:08.900106,72,56,0,57,12,4.186773440828833,3,4,29,17.25,0,0,69,1,0:00:00.193169,1,0"
